Object: person, Confidence: 98.93%, Distance: 0.62m
Object: person, Confidence: 98.93%, Distance: 0.61m
Object: person, Confidence: 99.22%, Distance: 0.65m
Object: person, Confidence: 98.54%, Distance: 0.63m
Object: person, Confidence: 98.54%, Distance: 0.65m
Object: person, Confidence: 98.83%, Distance: 0.63m
Object: person, Confidence: 98.63%, Distance: 0.63m
Object: person, Confidence: 98.44%, Distance: 0.65m
Object: person, Confidence: 98.44%, Distance: 0.62m
Object: person, Confidence: 98.29%, Distance: 0.62m
Object: person, Confidence: 98.54%, Distance: 0.61m
Object: person, Confidence: 98.54%, Distance: 0.63m
Object: person, Confidence: 98.39%, Distance: 0.66m
Object: person, Confidence: 98.44%, Distance: 0.65m
Object: person, Confidence: 98.83%, Distance: 0.61m
Object: person, Confidence: 98.93%, Distance: 0.63m
Object: person, Confidence: 98.83%, Distance: 0.68m
Object: person, Confidence: 98.54%, Distance: 0.62m
Object: person, Confidence: 98.73%, Distance: 0.67m
Object: person, Confidence: 99.12%, Distance: 0.63m
Object: person, Confidence: 99.22%, Distance: 0.65m
Object: person, Confidence: 98.54%, Distance: 0.59m
Object: person, Confidence: 98.54%, Distance: 0.62m
Object: person, Confidence: 98.39%, Distance: 0.53m
Object: person, Confidence: 97.90%, Distance: 0.48m
Object: person, Confidence: 97.17%, Distance: 0.50m
Object: person, Confidence: 95.36%, Distance: 0.55m
Object: person, Confidence: 90.77%, Distance: 0.67m
Object: person, Confidence: 69.24%, Distance: 0.56m
Object: person, Confidence: 79.98%, Distance: 0.49m
Object: person, Confidence: 80.76%, Distance: 0.58m
Object: person, Confidence: 91.11%, Distance: 2.02m
Object: person, Confidence: 94.53%, Distance: 2.12m
Object: person, Confidence: 96.04%, Distance: 0.81m
Object: person, Confidence: 97.31%, Distance: 0.48m
Object: person, Confidence: 97.17%, Distance: 0.47m
Object: person, Confidence: 97.61%, Distance: 0.48m
Object: person, Confidence: 98.93%, Distance: 0.47m
Object: person, Confidence: 98.10%, Distance: 0.47m
Object: person, Confidence: 98.19%, Distance: 0.48m
Object: person, Confidence: 98.73%, Distance: 0.48m
Object: person, Confidence: 98.93%, Distance: 0.61m
Object: person, Confidence: 99.22%, Distance: 1.28m
Object: person, Confidence: 98.83%, Distance: 1.21m
Object: person, Confidence: 98.93%, Distance: 0.68m
Object: person, Confidence: 98.73%, Distance: 1.37m
Object: person, Confidence: 98.93%, Distance: 0.54m
Object: person, Confidence: 98.93%, Distance: 1.15m
